"GTEXID","Age","PRXL2B"
"GTEX-ZF2S-3026-SM-4WWCH","50-59",0.532924136192402
"GTEX-ZVP2-0626-SM-51MSO","50-59",1.17445532533692
"GTEX-ZVT4-0626-SM-5E45T","50-59",-1.70430813674528
"GTEX-ZZPU-0426-SM-5GZYH","50-59",0.650406572566273
"GTEX-111FC-1226-SM-HAV27","60-69",-1.77103615374773
"GTEX-11DXY-0526-SM-5EGGQ","60-69",-0.404176749413242
"GTEX-11EMC-0326-SM-HAV2K","60-69",1.94712761480931
"GTEX-11GSP-0626-SM-5986T","60-69",-1.45746988497349
"GTEX-11NV4-1326-SM-5HL6V","60-69",-0.552193255689886
"GTEX-11OF3-0726-SM-5BC4Z","60-69",0.100783482796605
"GTEX-11TUW-1726-SM-5BC5C","60-69",0.303243811308876
"GTEX-11WQC-0726-SM-5EQMR","60-69",0.319109833763464
"GTEX-11ZTS-1426-SM-5EQMM","60-69",-0.906206096534578
"GTEX-1212Z-0226-SM-59HLF","60-69",-0.466450431629217
"GTEX-12696-0826-SM-5EGGE","60-69",0.788765283758613
"GTEX-1269C-0626-SM-5FQSS","60-69",0.0376405412584128
"GTEX-12WSD-1426-SM-5GCN9","60-69",0.0726165993090914
"GTEX-12WSM-0726-SM-5GCOW","60-69",-0.352507584889048
"GTEX-12ZZZ-1326-SM-59HKW","60-69",-4.53184596863827
"GTEX-13113-1326-SM-5GCOI","60-69",0.771744838725983
"GTEX-131YS-1626-SM-5HL6C","60-69",-1.30387456023489
"GTEX-132NY-0926-SM-5P9G3","60-69",-0.410274123303191
"GTEX-1399T-0826-SM-5IFES","60-69",0.493493149766855
"GTEX-139TS-1426-SM-5IFJD","60-69",-0.511357198051563
"GTEX-139TU-0826-SM-5IJFG","60-69",0.539228148377678
"GTEX-13FTZ-0726-SM-5IFFY","60-69",0.117444101329401
"GTEX-13G51-0626-SM-HK7AV","60-69",0.369543030232184
"GTEX-13N2G-0926-SM-5IFGJ","60-69",0.41080866270246
"GTEX-13O1R-2026-SM-5KM3N","60-69",0.100506161691433
"GTEX-13O3O-1826-SM-5IFGW","60-69",-0.741435634190291
"GTEX-13PVR-0126-SM-5S2PY","60-69",-0.0776046095840742
"GTEX-13QJC-0726-SM-5RQJK","60-69",-1.01013021931216
"GTEX-13S7M-1126-SM-HAV2A","60-69",-1.78465531693814
"GTEX-145MO-2326-SM-5NQ9K","60-69",-0.81480297467723
"GTEX-14753-1626-SM-5NQ9L","60-69",-1.58772848726201
"GTEX-147GR-1326-SM-7IGLB","60-69",0.127961571827329
"GTEX-147JS-1126-SM-5RQIW","60-69",-0.739766019286489
"GTEX-148VI-0626-SM-5TDDH","60-69",0.118929541018625
"GTEX-1497J-0726-SM-5Q5D1","60-69",0.961196282450257
"GTEX-14DAQ-1726-SM-5S2R2","60-69",-0.457780282832152
"GTEX-14PJO-1726-SM-68719","60-69",1.71636836839937
"GTEX-14XAO-0226-SM-68728","60-69",-0.2038359910702
"GTEX-15CHQ-0926-SM-HAV1W","60-69",0.665430686555815
"GTEX-15DYW-1326-SM-6LPIV","60-69",-0.011662159332394
"GTEX-16MT8-2126-SM-HAV1Q","60-69",1.35811127387621
"GTEX-16Z82-1426-SM-HAV2I","60-69",-0.384179031207189
"GTEX-18A66-2026-SM-7189C","60-69",-0.0504844361248488
"GTEX-18A6Q-2026-SM-718AQ","60-69",0.31310055008697
"GTEX-18D9B-1526-SM-7KFRK","60-69",0.758497986047288
"GTEX-1A8G7-1126-SM-731ED","60-69",-0.624382441934839
"GTEX-1AX8Z-1026-SM-7189R","60-69",2.20065606567876
"GTEX-1AX9I-1626-SM-72D5D","60-69",-0.849667195586808
"GTEX-1B8L1-0726-SM-7P8RT","60-69",-0.789659282665238
"GTEX-1B996-1426-SM-7EPIA","60-69",0.598224764754474
"GTEX-1CB4F-1726-SM-7MGXH","60-69",0.881431487093252
"GTEX-1CB4J-0726-SM-7IGN8","60-69",0.619094718704543
"GTEX-1EH9U-1126-SM-7IGLU","60-69",0.429778194230012
"GTEX-1EKGG-1226-SM-7IGNO","60-69",-0.492367601540368
"GTEX-1GF9V-1226-SM-7MKGY","60-69",-1.38560694338904
"GTEX-1GF9W-0826-SM-7MKHI","60-69",2.0652801887351
"GTEX-1GN2E-0926-SM-9WPOH","60-69",-1.57807376866155
"GTEX-1GN73-1126-SM-9OSW5","60-69",-1.61873905600717
"GTEX-1H1CY-1026-SM-HLJS4","60-69",-1.12411023655749
"GTEX-1H23P-1826-SM-GA91S","60-69",0.688103248041105
"GTEX-1HCU6-2026-SM-GA91U","60-69",-1.09859412888383
"GTEX-1I1GR-1526-SM-CNNQE","60-69",-1.61242281250907
"GTEX-1I1GV-1026-SM-GA8Z8","60-69",1.05948163603419
"GTEX-1I1HK-1126-SM-AHZ2L","60-69",-0.758234482500096
"GTEX-1IKJJ-1526-SM-C1YSC","60-69",-0.818043899463122
"GTEX-1IKK5-0326-SM-C1YPY","60-69",-0.0720914487822302
"GTEX-1J8EW-1626-SM-C1YQ8","60-69",-0.716406099402031
"GTEX-1JJ6O-0826-SM-CXZJL","60-69",-0.655056988770681
"GTEX-1JJEA-1526-SM-CNNPK","60-69",-0.85170930755868
"GTEX-1NV8Z-1626-SM-DPRYT","60-69",1.50319849096914
"GTEX-1PPGY-2226-SM-F2I29","60-69",0.115262896333399
"GTEX-1QCLZ-1226-SM-EAZ49","60-69",-0.0367305690724803
"GTEX-1RQEC-1126-SM-EAZ5E","60-69",-0.706001456489834
"GTEX-1RQED-0726-SM-HLJQL","60-69",-0.396363611665902
"GTEX-1S5VW-1826-SM-EAZ53","60-69",-1.25152882196464
"GTEX-N7MS-1825-SM-HLJR9","60-69",-2.20546328588897
"GTEX-O5YV-0726-SM-EV798","60-69",0.100228811754824
"GTEX-OIZF-0826-SM-7MKH9","60-69",0.759601963787745
"GTEX-OOBJ-0826-SM-3NB2K","60-69",0.0363585192234927
"GTEX-REY6-1226-SM-48FDR","60-69",0.100506161691433
"GTEX-RTLS-1326-SM-46MUN","60-69",0.570937625056161
"GTEX-S4Z8-0526-SM-4AD4T","60-69",1.69056227414021
"GTEX-SJXC-1226-SM-4DM78","60-69",-1.10523816206823
"GTEX-UTHO-2426-SM-4JBHD","60-69",2.20797488675613
"GTEX-WQUQ-1926-SM-4M9QM","60-69",-0.381986671837304
"GTEX-X4EO-1126-SM-4QARQ","60-69",0.376265105026527
"GTEX-X4EP-1026-SM-4QAS5","60-69",0.100506161691433
"GTEX-X4XY-1626-SM-46MVN","60-69",0.452217589106719
"GTEX-Y5V5-0926-SM-4VBPZ","60-69",-0.340086844440284
"GTEX-YECK-1926-SM-4W21H","60-69",-0.337621395402484
"GTEX-ZF29-2026-SM-DNZYW","60-69",1.40121946238054
"GTEX-ZVT3-1626-SM-5GU66","60-69",-0.239325955903777
"GTEX-ZYY3-0626-SM-5NQ6W","60-69",0.794433617046163
