GTEXID,Age,ALOX5
GTEX-OOBJ-0826-SM-3NB2K,60-69,1.141341071
GTEX-REY6-1226-SM-48FDR,60-69,-0.033651793
GTEX-RTLS-1326-SM-46MUN,60-69,-0.625740623
GTEX-S4Z8-0526-SM-4AD4T,60-69,0.864306462
GTEX-SJXC-1226-SM-4DM78,60-69,-1.555834894
GTEX-UTHO-2426-SM-4JBHD,60-69,0.792583274
GTEX-WQUQ-1926-SM-4M9QM,60-69,-0.27853089
GTEX-X4EO-1126-SM-4QARQ,60-69,0.028752743
GTEX-X4EP-1026-SM-4QAS5,60-69,0.492008263
GTEX-X4XY-1626-SM-46MVN,60-69,0.548086643
GTEX-Y5V5-0926-SM-4VBPZ,60-69,-0.185311856
GTEX-YECK-1926-SM-4W21H,60-69,-0.684918167
GTEX-ZF29-2026-SM-DNZYW,60-69,1.374249122
GTEX-ZVT3-1626-SM-5GU66,60-69,-0.933520408
GTEX-ZYY3-0626-SM-5NQ6W,60-69,0.512680665
