"GTEXID","Age","ALOX5"
"GTEX-12ZZZ-1326-SM-59HKW","60-69",0.653115063
"GTEX-13113-1326-SM-5GCOI","60-69",2.098702517
"GTEX-131YS-1626-SM-5HL6C","60-69",-0.363454723
"GTEX-132NY-0926-SM-5P9G3","60-69",0.900490089
"GTEX-1399T-0826-SM-5IFES","60-69",1.081094158
"GTEX-139TS-1426-SM-5IFJD","60-69",1.192629749
"GTEX-139TU-0826-SM-5IJFG","60-69",1.279655521
"GTEX-13FTZ-0726-SM-5IFFY","60-69",-0.495936964
"GTEX-13G51-0626-SM-HK7AV","60-69",-1.286406233
"GTEX-13N2G-0926-SM-5IFGJ","60-69",0.842793833
"GTEX-13O1R-2026-SM-5KM3N","60-69",3.407135175
"GTEX-13O3O-1826-SM-5IFGW","60-69",1.850483412
"GTEX-13PVR-0126-SM-5S2PY","60-69",2.716626609
"GTEX-13QJC-0726-SM-5RQJK","60-69",0.321916553
"GTEX-13S7M-1126-SM-HAV2A","60-69",1.665088008
"GTEX-145MO-2326-SM-5NQ9K","60-69",0.668745458
"GTEX-14753-1626-SM-5NQ9L","60-69",-0.267480712
"GTEX-147GR-1326-SM-7IGLB","60-69",1.539352398
"GTEX-147JS-1126-SM-5RQIW","60-69",0.765831741
"GTEX-148VI-0626-SM-5TDDH","60-69",1.857563051
"GTEX-1497J-0726-SM-5Q5D1","60-69",1.524003479
"GTEX-14DAQ-1726-SM-5S2R2","60-69",0.002191232
"GTEX-14PJO-1726-SM-68719","60-69",1.703455127
"GTEX-14XAO-0226-SM-68728","60-69",1.524003479
"GTEX-15CHQ-0926-SM-HAV1W","60-69",1.636246425
"GTEX-15DYW-1326-SM-6LPIV","60-69",1.262697738
"GTEX-16MT8-2126-SM-HAV1Q","60-69",2.866085041
"GTEX-16Z82-1426-SM-HAV2I","60-69",2.199113217
"GTEX-18A66-2026-SM-7189C","60-69",2.539841215
"GTEX-18A6Q-2026-SM-718AQ","60-69",-0.384760755
"GTEX-18D9B-1526-SM-7KFRK","60-69",1.524003479
"GTEX-1A8G7-1126-SM-731ED","60-69",1.646692623
"GTEX-1AX8Z-1026-SM-7189R","60-69",2.691442598
"GTEX-1AX9I-1626-SM-72D5D","60-69",0.756169328
"GTEX-1B8L1-0726-SM-7P8RT","60-69",-0.933986607
"GTEX-1B996-1426-SM-7EPIA","60-69",1.639769311
"GTEX-1CB4F-1726-SM-7MGXH","60-69",2.299906938
"GTEX-1CB4J-0726-SM-7IGN8","60-69",2.153208683
"GTEX-1EH9U-1126-SM-7IGLU","60-69",2.151352291
"GTEX-1EKGG-1226-SM-7IGNO","60-69",-0.235044145
"GTEX-1GF9V-1226-SM-7MKGY","60-69",0.976708228
"GTEX-1GF9W-0826-SM-7MKHI","60-69",2.788132328
"GTEX-1GN2E-0926-SM-9WPOH","60-69",0.165674015
"GTEX-1GN73-1126-SM-9OSW5","60-69",1.668305238
"GTEX-1H1CY-1026-SM-HLJS4","60-69",-0.748589927
"GTEX-1H23P-1826-SM-GA91S","60-69",2.971245558
"GTEX-1HCU6-2026-SM-GA91U","60-69",2.720797217
"GTEX-1I1GR-1526-SM-CNNQE","60-69",0.214174553
"GTEX-1I1GV-1026-SM-GA8Z8","60-69",1.4963294
"GTEX-1I1HK-1126-SM-AHZ2L","60-69",-0.051769965
"GTEX-1IKJJ-1526-SM-C1YSC","60-69",-0.079720422
"GTEX-1IKK5-0326-SM-C1YPY","60-69",3.192967394
"GTEX-1J8EW-1626-SM-C1YQ8","60-69",0.557797273
"GTEX-1JJ6O-0826-SM-CXZJL","60-69",2.240323489
"GTEX-1JJEA-1526-SM-CNNPK","60-69",0.252282429
"GTEX-1NV8Z-1626-SM-DPRYT","60-69",-1.387502177
"GTEX-1PPGY-2226-SM-F2I29","60-69",-1.039070221
"GTEX-1QCLZ-1226-SM-EAZ49","60-69",1.635796174
"GTEX-1RQEC-1126-SM-EAZ5E","60-69",0.12797658
"GTEX-1RQED-0726-SM-HLJQL","60-69",-0.719509223
"GTEX-1S5VW-1826-SM-EAZ53","60-69",1.199951828
"GTEX-N7MS-1825-SM-HLJR9","60-69",-1.419449267
"GTEX-O5YV-0726-SM-EV798","60-69",1.802602698
"GTEX-OIZF-0826-SM-7MKH9","60-69",1.609575323
"GTEX-OOBJ-0826-SM-3NB2K","60-69",2.518391618
"GTEX-REY6-1226-SM-48FDR","60-69",1.208442345
"GTEX-RTLS-1326-SM-46MUN","60-69",0.548347841
"GTEX-S4Z8-0526-SM-4AD4T","60-69",2.209537585
"GTEX-SJXC-1226-SM-4DM78","60-69",-0.488574468
"GTEX-UTHO-2426-SM-4JBHD","60-69",2.129576472
"GTEX-WQUQ-1926-SM-4M9QM","60-69",0.935437117
"GTEX-X4EO-1126-SM-4QARQ","60-69",1.278014493
"GTEX-X4EP-1026-SM-4QAS5","60-69",1.794478252
"GTEX-X4XY-1626-SM-46MVN","60-69",1.856997638
"GTEX-Y5V5-0926-SM-4VBPZ","60-69",1.03936303
"GTEX-YECK-1926-SM-4W21H","60-69",0.482373329
"GTEX-ZF29-2026-SM-DNZYW","60-69",2.778050839
"GTEX-ZVT3-1626-SM-5GU66","60-69",0.205217327
"GTEX-ZYY3-0626-SM-5NQ6W","60-69",1.817525028
